name,ing_cal,ing_protein,ing_fat,ing_carbon,ing_vit_b1,ing_vit_b2,ing_vit_c,ing_salt
ぜんまい　干しぜんまい　干し若芽　乾,277,14.6,0.6,70.8,0.1,0.41,0,0.1
ぜんまい　干しぜんまい　干し若芽　ゆで,25,1.7,0.1,6.8,0,0.01,0,0
そらまめ　未熟豆　生,102,10.9,0.2,15.5,0.3,0.2,23,0
そらまめ　未熟豆　ゆで,103,10.5,0.2,16.9,0.22,0.18,18,0
タアサイ　葉　生,12,1.3,0.2,2.2,0.05,0.09,31,0.1
タアサイ　葉　ゆで,11,1.1,0.2,2.3,0.02,0.03,14,0.1
（だいこん類）　かいわれだいこん　芽ばえ　生,21,2.1,0.5,3.3,0.08,0.13,47,0
（だいこん類）　葉だいこん　葉　生,17,2,0.2,3.3,0.07,0.15,49,0.1
（だいこん類）　だいこん　葉　生,23,2.2,0.1,5.3,0.09,0.16,53,0.1
（だいこん類）　だいこん　葉　ゆで,24,2.2,0.1,5.4,0.01,0.06,21,0.1
（だいこん類）　だいこん　根　皮つき　生,15,0.5,0.1,4.1,0.02,0.01,12,0
（だいこん類）　だいこん　根　皮つき　ゆで,15,0.4,Tr,4.5,0.02,0.01,9,0
（だいこん類）　だいこん　根　皮なし　生,15,0.4,0.1,4.1,0.02,0.01,11,0
（だいこん類）　だいこん　根　皮なし　生　おろし,25,0.6,0.2,8,0.02,0.01,7,0.1
（だいこん類）　だいこん　根　皮なし　生　おろし汁,12,0.3,Tr,2.7,0.02,0.01,7,0.1
（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,23,0.6,0.1,7.2,0.02,0.01,6,0.1
（だいこん類）　だいこん　根　皮なし　ゆで,15,0.5,0.1,4,0.02,0.01,9,0
（だいこん類）　切干しだいこん　乾,280,9.7,0.8,69.7,0.35,0.2,28,0.5
（だいこん類）　切干しだいこん　ゆで,13,0.9,0.1,4.1,0.01,Tr,0,Tr
（だいこん類）　切干しだいこん　油いため,78,1.5,6,7.6,0.02,0.02,0,Tr
（だいこん類）　漬物　いぶりがっこ,76,1.1,0.3,21,0.08,0.02,0,3.5
（だいこん類）　漬物　ぬかみそ漬,29,1.3,0.1,6.7,0.33,0.04,15,3.8
（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,43,0.6,0.3,10.8,0.01,0.01,40,3.3
（だいこん類）　漬物　たくあん漬　干しだいこん漬,23,1.9,0.1,5.5,0.21,0.03,12,2.5
（だいこん類）　漬物　守口漬,194,5.3,0.2,44.3,0.05,0.17,0,3.6
（だいこん類）　漬物　べったら漬,53,0.4,0.2,13.1,Tr,0.11,49,2.8
（だいこん類）　漬物　みそ漬,52,2.1,0.3,11.4,3.7,0.01,0,7.2
（だいこん類）　漬物　福神漬,137,2.7,0.1,33.3,0.02,0.1,0,5.1
（たいさい類）　つまみな　葉　生,19,1.9,0.3,3.6,0.06,0.14,47,0.1
（たいさい類）　たいさい　葉　生,15,0.9,0.1,3.5,0.07,0.07,45,0.1
（たいさい類）　たいさい　塩漬,19,1.6,0.1,4.3,0.03,0.07,41,1.8
たかな　葉　生,21,1.8,0.2,4.2,0.06,0.1,69,0.1
たかな　たかな漬,30,1.9,0.6,6.2,0.01,0.03,Tr,4
たけのこ　若茎　生,27,3.6,0.2,4.3,0.05,0.11,10,0
たけのこ　若茎　ゆで,31,3.5,0.2,5.5,0.04,0.09,8,0
たけのこ　水煮缶詰,22,2.7,0.2,4,0.01,0.04,0,0
たけのこ　めんま　塩蔵　塩抜き,15,1,0.5,3.6,0,0,0,0.9
（たまねぎ類）　たまねぎ　りん茎　生,33,1,0.1,8.4,0.04,0.01,7,0
（たまねぎ類）　たまねぎ　りん茎　水さらし,24,0.6,0.1,6.1,0.03,0.01,5,0
（たまねぎ類）　たまねぎ　りん茎　ゆで,30,0.8,0.1,7.3,0.03,0.01,5,0
（たまねぎ類）　たまねぎ　りん茎　油いため,100,1.4,5.9,12,0.04,0.02,9,0
（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,208,3.2,6.8,34.1,0.12,0.03,0,Tr
（たまねぎ類）　赤たまねぎ　りん茎　生,34,0.9,0.1,9,0.03,0.02,7,0
（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,33,1.8,0.4,7.6,0.06,0.11,32,0
たらのめ　若芽　生,27,4.2,0.2,4.3,0.15,0.2,7,0
たらのめ　若芽　ゆで,27,4,0.2,4.1,0.07,0.11,3,0
チコリ　若芽　生,17,1,Tr,3.9,0.06,0.02,2,0
ちぢみゆきな　葉　生,35,3.6,0.6,5.7,0.09,0.21,69,Tr
ちぢみゆきな　葉　ゆで,34,3.8,0.7,5.2,0.06,0.12,39,Tr
チンゲンサイ　葉　生,9,0.6,0.1,2,0.03,0.07,24,0.1
チンゲンサイ　葉　ゆで,11,0.9,0.1,2.4,0.03,0.05,15,0.1
チンゲンサイ　葉　油いため,36,0.8,3.2,2.2,0.03,0.06,21,0.1
つくし　胞子茎　生,31,3.5,0.1,8.1,0.07,0.14,33,0
つくし　胞子茎　ゆで,28,3.4,0.1,6.7,Tr,0.1,15,0
つるな　茎葉　生,15,1.8,0.1,2.8,0.08,0.3,22,0
つるにんじん　根　生,55,1,0.7,19.8,0.06,0.05,6,0
つるむらさき　茎葉　生,11,0.7,0.2,2.6,0.03,0.07,41,0
つるむらさき　茎葉　ゆで,12,0.9,0.2,3.2,0.02,0.05,18,0
つわぶき　葉柄　生,19,0.4,0,5.6,0.01,0.04,4,0.3
つわぶき　葉柄　ゆで,14,0.3,0,4.4,0.01,0.03,0,0.1
とうがらし　葉･果実　生,32,3.4,0.1,7.2,0.08,0.28,92,0
とうがらし　葉･果実　油いため,81,4,4.9,8.5,0.12,0.28,56,0
とうがらし　果実　生,72,3.9,3.4,16.3,0.14,0.36,120,0
とうがらし　果実　乾,270,14.7,12,58.4,0.5,1.4,1,0
とうがん　果実　生,15,0.5,0.1,3.8,0.01,0.01,39,0
とうがん　果実　ゆで,15,0.6,0.1,3.7,0.01,0.01,27,0
（とうもろこし類）　スイートコーン　未熟種子　生,89,3.6,1.7,16.8,0.15,0.1,8,0
（とうもろこし類）　スイートコーン　未熟種子　ゆで,95,3.5,1.7,18.6,0.12,0.1,6,0
（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,104,4.2,2.2,19.1,0.16,0.11,6,0
（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,96,3.5,1.5,18.7,0.12,0.09,6,0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,91,2.9,1.3,19.8,0.1,0.07,4,0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92,2.8,1.5,18.7,0.08,0.06,2,0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,125,2.9,5.8,18.9,0.1,0.07,3,0
（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,82,1.7,0.5,18.6,0.02,0.05,3,0.7
（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,78,2.3,0.5,17.8,0.03,0.05,2,0.5
（とうもろこし類）　ヤングコーン　幼雌穂　生,29,2.3,0.2,6,0.09,0.11,9,0
（トマト類）　赤色トマト　果実　生,20,0.7,0.1,4.7,0.05,0.02,15,0
（トマト類）　赤色ミニトマト　果実　生,30,1.1,0.1,7.2,0.07,0.05,32,0
（トマト類）　黄色トマト　果実　生,18,1.1,0.4,3.2,0.08,0.03,28,0
（トマト類）　ドライトマト,291,14.2,2.1,67.3,0.68,0.3,15,0.3
（トマト類）　加工品　ホール　食塩無添加,21,0.9,0.2,4.4,0.06,0.03,10,Tr
（トマト類）　加工品　トマトジュース　食塩添加,15,0.7,0.1,4,0.04,0.04,6,0.3
（トマト類）　加工品　トマトジュース　食塩無添加,18,0.7,0.1,4,0.04,0.04,6,Tr
（トマト類）　加工品　ミックスジュース　食塩添加,18,0.6,0,4.3,0.03,0.03,3,0.2
（トマト類）　加工品　ミックスジュース　食塩無添加,18,0.6,0,4.3,0.03,0.03,3,Tr
トレビス　葉　生,17,1.1,0.2,3.9,0.04,0.04,6,0
とんぶり　ゆで,89,6.1,3.5,12.9,0.11,0.17,1,0
ながさきはくさい　葉　生,12,1.3,0.1,2.6,0.05,0.13,88,0.1
ながさきはくさい　葉　ゆで,18,2.2,0.1,3.4,0.02,0.07,23,0
（なす類）　なす　果実　生,18,1.1,0.1,5.1,0.05,0.05,4,0
（なす類）　なす　果実　ゆで,17,1,0.1,4.5,0.04,0.04,1,0
（なす類）　なす　果実　油いため,73,1.5,5.8,6.3,0.06,0.07,2,0
（なす類）　なす　果実　天ぷら,165,1.6,14,12,0.05,0.07,2,0.1
（なす類）　べいなす　果実　生,20,1.1,0.1,5.3,0.04,0.04,6,0
（なす類）　べいなす　果実　素揚げ,177,1,17,6.7,0.05,0.04,2,0
（なす類）　漬物　塩漬,22,1.4,0.1,5.2,0.03,0.04,7,2.2
（なす類）　漬物　ぬかみそ漬,27,1.7,0.1,6.1,0.1,0.04,8,2.5
（なす類）　漬物　こうじ漬,87,5.5,0.1,18.2,0.03,0.05,0,6.6
（なす類）　漬物　からし漬,127,2.6,0.2,30.7,0.06,0.04,87,4.8
（なす類）　漬物　しば漬,27,1.4,0.2,7,0,0.02,0,4.1
なずな　葉　生,35,4.3,0.1,7,0.15,0.27,110,0
（なばな類）　和種なばな　花らい・茎　生,34,4.4,0.2,5.8,0.16,0.28,130,0
（なばな類）　和種なばな　花らい・茎　ゆで,28,4.7,0.1,4.3,0.07,0.14,44,0
（なばな類）　洋種なばな　茎葉　生,36,4.1,0.4,6,0.11,0.24,110,0
（なばな類）　洋種なばな　茎葉　ゆで,30,3.6,0.4,5.3,0.06,0.13,55,0
にがうり　果実　生,15,1,0.1,3.9,0.05,0.07,76,0
にがうり　果実　油いため,47,1.2,3.3,4.6,0.05,0.08,75,0
（にら類）　にら　葉　生,18,1.7,0.3,4,0.06,0.13,19,0
（にら類）　にら　葉　ゆで,27,2.6,0.5,5.7,0.04,0.12,11,0
（にら類）　にら　葉　油いため,69,1.9,5.7,4.9,0.06,0.16,21,0
（にら類）　花にら　花茎・花らい　生,27,1.9,0.2,5.9,0.07,0.08,23,0
（にら類）　黄にら　葉　生,18,2.1,0.1,3.3,0.05,0.08,15,0
（にんじん類）　葉にんじん　葉　生,16,1.1,0.2,3.7,0.06,0.12,22,0.1
（にんじん類）　にんじん　根　皮つき　生,35,0.7,0.2,9.3,0.07,0.06,6,0.1
（にんじん類）　にんじん　根　皮つき　ゆで,29,0.6,0.2,8.4,0.06,0.05,4,0.1
（にんじん類）　にんじん　根　皮なし　生,30,0.8,0.1,8.7,0.07,0.06,6,0.1
（にんじん類）　にんじん　根　皮なし　ゆで,28,0.7,0.1,8.5,0.06,0.05,4,0.1
（にんじん類）　にんじん　根　皮なし　油いため,103,1.1,6.4,12.4,0.11,0.08,5,0.1
（にんじん類）　にんじん　根　皮なし　素揚げ,87,1,3.5,13.9,0.1,0.07,6,0.1
（にんじん類）　にんじん　根　皮　生,26,0.7,0.2,7.3,0.05,0.05,4,Tr
（にんじん類）　にんじん　根　冷凍,30,0.8,0.2,8.2,0.04,0.02,4,0.1
（にんじん類）　にんじん　根　冷凍　ゆで,24,0.7,0.2,7,0.03,0.02,1,0.1
（にんじん類）　にんじん　根　冷凍　油いため,65,0.9,4,9.3,0.04,0.03,2,0.2
（にんじん類）　にんじん　グラッセ,53,0.7,1.4,12.7,0.03,0.03,2,1
（にんじん類）　にんじん　ジュース　缶詰,29,0.6,0.1,6.7,0.03,0.04,1,0
（にんじん類）　きんとき　根　皮つき　生,39,1.8,0.2,9.6,0.07,0.05,8,0
（にんじん類）　きんとき　根　皮つき　ゆで,37,1.9,0.2,9.2,0.07,0.05,6,0
（にんじん類）　きんとき　根　皮なし　生,40,1.8,0.3,9.7,0.07,0.05,8,0
（にんじん類）　きんとき　根　皮なし　ゆで,40,1.9,0.4,9.6,0.06,0.06,8,0
（にんじん類）　ミニキャロット　根　生,26,0.7,0.2,7.5,0.04,0.03,4,0
（にんにく類）　にんにく　りん茎　生,129,6.4,0.9,27.5,0.19,0.07,12,Tr
（にんにく類）　にんにく　りん茎　油いため,191,8.2,5.9,30.6,0.23,0.09,10,Tr
（にんにく類）　茎にんにく　花茎　生,44,1.9,0.3,10.6,0.11,0.1,45,0
（にんにく類）　茎にんにく　花茎　ゆで,43,1.7,0.2,10.7,0.1,0.07,39,0
（ねぎ類）　根深ねぎ　葉　軟白　生,35,1.4,0.1,8.3,0.05,0.04,14,0
（ねぎ類）　根深ねぎ　葉　軟白　ゆで,28,1.3,0.1,6.8,0.04,0.03,10,0
（ねぎ類）　根深ねぎ　葉　軟白　油いため,77,1.6,4.4,9.5,0.06,0.05,15,0
（ねぎ類）　葉ねぎ　葉　生,29,1.9,0.3,6.5,0.06,0.11,32,0
（ねぎ類）　葉ねぎ　葉　油いため,77,2.1,5.2,7.9,0.07,0.12,43,0
（ねぎ類）　こねぎ　葉　生,26,2,0.3,5.4,0.08,0.14,44,0
のざわな　葉　生,14,0.9,0.1,3.5,0.06,0.1,41,0.1
のざわな　漬物　塩漬,17,1.2,0.1,4.1,0.05,0.11,27,1.5
のざわな　漬物　調味漬,22,1.7,0,5.4,0.03,0.11,26,2.4
のびる　りん茎葉　生,63,3.2,0.2,15.5,0.08,0.22,60,0
はくさい　結球葉　生,13,0.8,0.1,3.2,0.03,0.03,19,0
はくさい　結球葉　ゆで,13,0.9,0.1,2.9,0.01,0.01,10,0
はくさい　漬物　塩漬,17,1.5,0.1,3.3,0.04,0.03,29,2.1
はくさい　漬物　キムチ,27,2.3,0.1,5.4,0.04,0.06,15,2.9
パクチョイ　葉　生,15,1.6,0.2,2.7,0.07,0.12,45,0
バジル　葉　生,21,2,0.6,4,0.08,0.19,16,0
パセリ　葉　生,34,4,0.7,7.8,0.12,0.24,120,0
はつかだいこん　根　生,13,0.8,0.1,3.1,0.02,0.02,19,0
はなっこりー　生,34,3.6,0.5,5.4,0.09,0.15,90,Tr
はやとうり　果実　白色種　生,20,0.6,0.1,4.9,0.02,0.03,11,0
はやとうり　果実　白色種　塩漬,17,0.6,Tr,4.4,0.02,0.04,9,3.6
はやとうり　果実　緑色種　生,21,0.6,0.1,4.9,0.02,0.03,11,0
ビーツ　根　生,38,1.6,0.1,9.3,0.05,0.05,5,0.1
ビーツ　根　ゆで,42,1.5,0.1,10.2,0.04,0.04,3,0.1
（ピーマン類）　青ピーマン　果実　生,20,0.9,0.2,5.1,0.03,0.03,76,0
（ピーマン類）　青ピーマン　果実　油いため,54,0.9,4.3,5.4,0.03,0.03,79,0
（ピーマン類）　赤ピーマン　果実　生,28,1,0.2,7.2,0.06,0.14,170,0
（ピーマン類）　赤ピーマン　果実　油いため,69,1,4.3,7.6,0.06,0.16,180,0
（ピーマン類）　オレンジピーマン　果実　生,19,0.9,0.3,4.2,0.04,0.03,150,0
（ピーマン類）　オレンジピーマン　果実　油いため,81,1.1,5.1,7.6,0.05,0.04,170,0
（ピーマン類）　黄ピーマン　果実　生,28,0.8,0.2,6.6,0.04,0.03,150,0
（ピーマン類）　黄ピーマン　果実　油いため,61,0.8,4.3,6.9,0.04,0.03,160,0
（ピーマン類）　トマピー　果実　生,33,1,0.2,7.5,0.05,0.09,200,0
ひのな　根・茎葉　生,17,1,Tr,4.7,0.05,0.13,52,0
ひのな　根・茎葉　甘酢漬,70,1.4,0.5,17.3,0.04,0.08,39,2.8
ひろしまな　葉　生,19,1.5,0.2,4.2,0.06,0.15,49,0.1
ひろしまな　塩漬,15,1.2,0.2,3.3,0.02,0.07,15,2.1
（ふき類）　ふき　葉柄　生,11,0.3,0,3,Tr,0.02,2,0.1
（ふき類）　ふき　葉柄　ゆで,7,0.3,0,1.9,Tr,0.01,0,0.1
（ふき類）　ふきのとう　花序　生,38,2.5,0.1,10,0.1,0.17,14,0
（ふき類）　ふきのとう　花序　ゆで,31,2.5,0.1,7,0.06,0.08,3,0
ふじまめ　若ざや　生,32,2.5,0.1,7.4,0.08,0.1,13,0
ふだんそう　葉　生,17,2,0.1,3.7,0.07,0.23,19,0.2
ふだんそう　葉　ゆで,26,2.8,0.1,5.4,0.03,0.11,7,0.2
ブロッコリー　花序　生,37,5.4,0.6,6.6,0.17,0.23,140,Tr
ブロッコリー　花序　ゆで,30,3.9,0.4,5.2,0.06,0.09,55,Tr
ブロッコリー　花序　電子レンジ調理,56,5.7,0.7,7,0.18,0.25,140,Tr
ブロッコリー　花序　焼き,83,9.9,1.2,8.4,0.27,0.4,150,Tr
ブロッコリー　花序　油いため,109,6.9,6.3,6.1,0.2,0.28,130,Tr
ブロッコリー　芽ばえ　生,18,1.9,0.6,2.6,0.08,0.11,64,0
へちま　果実　生,17,0.8,0.1,3.8,0.03,0.04,5,0
へちま　果実　ゆで,19,1.6,0.1,3.7,0.03,0.06,3,0
ほうれんそう　葉　通年平均　生,18,2.2,0.4,3.1,0.11,0.2,35,0
ほうれんそう　葉　通年平均　ゆで,23,2.6,0.5,4,0.05,0.11,19,0
ほうれんそう　葉　通年平均　油いため,91,3.8,8.1,4.4,0.08,0.16,21,Tr
ほうれんそう　葉　夏採り　生,18,2.2,0.4,3.1,0.11,0.2,20,0
ほうれんそう　葉　夏採り　ゆで,23,2.6,0.5,4,0.05,0.11,10,0
ほうれんそう　葉　冬採り　生,18,2.2,0.4,3.1,0.11,0.2,60,0
ほうれんそう　葉　冬採り　ゆで,23,2.6,0.5,4,0.05,0.11,30,0
ほうれんそう　葉　冷凍,22,2.9,0.3,3.4,0.06,0.13,19,0.3
ほうれんそう　葉　冷凍　ゆで,26,3.7,0.5,3.8,-,0.06,5,0.1
ほうれんそう　葉　冷凍　油いため,67,4,4.5,5.4,-,0.18,16,0.4
ホースラディシュ　根茎　生,69,3.1,0.3,17.7,0.1,0.1,73,0
まこも　茎　生,19,1.3,0.2,4.4,0.04,0.03,6,0
みずかけな　葉　生,25,2.9,0.1,4.7,0.11,0.23,88,0
みずかけな　塩漬,34,4.9,Tr,5.7,0.12,0.34,70,2.5
みずな　葉　生,23,2.2,0.1,4.8,0.08,0.15,55,0.1
みずな　葉　ゆで,21,2,0.1,4.7,0.04,0.08,19,0.1
みずな　塩漬,26,2,0.1,5.9,0.07,0.15,47,2.3
（みつば類）　切りみつば　葉　生,16,1,0.1,4,0.03,0.09,8,0
（みつば類）　切りみつば　葉　ゆで,12,0.9,0.1,3.3,0.02,0.04,1,0
（みつば類）　根みつば　葉　生,19,1.9,0.1,4.1,0.05,0.13,22,0
（みつば類）　根みつば　葉　ゆで,19,2.3,0.1,3.9,0.03,0.05,12,0
（みつば類）　糸みつば　葉　生,12,0.9,0.1,2.9,0.04,0.14,13,0
（みつば類）　糸みつば　葉　ゆで,14,1.1,0,4,0.02,0.08,4,0
みぶな　葉　生,14,1.1,0.3,2.9,0.04,0.07,38,0.1
（みょうが類）　みょうが　花穂　生,11,0.9,0.1,2.6,0.05,0.05,2,0
（みょうが類）　みょうがたけ　茎葉　生,6,0.4,0.1,1.5,0.02,0.02,1,0
むかご　肉芽　生,87,2.9,0.2,20.6,0.11,0.02,9,0
めキャベツ　結球葉　生,52,5.7,0.1,9.9,0.19,0.23,160,0
めキャベツ　結球葉　ゆで,51,5.3,0.1,9.8,0.13,0.16,110,0
めたで　芽ばえ　生,39,3,0.5,8.8,0.15,0.21,67,0
（もやし類）　アルファルファもやし　生,11,1.6,0.1,2,0.07,0.09,5,0
（もやし類）　だいずもやし　生,29,3.7,1.5,2.3,0.09,0.07,5,0
（もやし類）　だいずもやし　ゆで,27,2.9,1.6,2.2,0.04,0.04,1,0
（もやし類）　ブラックマッペもやし　生,17,2.2,Tr,2.8,0.04,0.06,10,Tr
（もやし類）　ブラックマッペもやし　ゆで,13,1.3,Tr,2.7,0.02,0.02,2,0
（もやし類）　ブラックマッペもやし　油いため,41,2.3,0.9,5.8,0.04,0.06,7,Tr
（もやし類）　りょくとうもやし　生,15,1.7,0.1,2.6,0.04,0.05,8,0
（もやし類）　りょくとうもやし　ゆで,12,1.6,0,2.3,0.03,0.04,2,0
モロヘイヤ　茎葉　生,36,4.8,0.5,6.3,0.18,0.42,65,0
モロヘイヤ　茎葉　ゆで,24,3,0.4,4,0.06,0.13,11,0
やぶまめ　生,219,15.5,6.5,29.5,-,-,-,0
やまごぼう　みそ漬,66,4.1,0.1,15.6,0.02,0.1,0,7.1
ゆりね　りん茎　生,119,3.8,0.1,28.3,0.08,0.07,9,0
ゆりね　りん茎　ゆで,117,3.4,0.1,28.7,0.07,0.07,8,0
ようさい　茎葉　生,17,2.2,0.1,3.1,0.1,0.2,19,0.1
ようさい　茎葉　ゆで,18,2.2,0.1,4.1,0.06,0.1,6,0
よめな　葉　生,40,3.4,0.2,10,0.23,0.32,42,0
よもぎ　葉　生,43,5.2,0.3,8.7,0.19,0.34,35,0
よもぎ　葉　ゆで,37,4.8,0.1,8.2,0.08,0.09,2,0
らっかせい　未熟豆　生,306,12,24.2,12.4,0.54,0.09,20,0
らっかせい　未熟豆　ゆで,298,11.9,23.5,12.3,0.3,0.13,19,0
（らっきょう類）　らっきょう　りん茎　生,83,1.4,0.2,29.3,0.07,0.05,23,0
（らっきょう類）　らっきょう　甘酢漬,117,0.4,0.3,29.4,Tr,Tr,0,1.9
（らっきょう類）　エシャレット　りん茎　生,59,2.3,0.2,17.8,0.03,0.05,21,0
リーキ　りん茎葉　生,30,1.6,0.1,6.9,0.06,0.08,11,0
リーキ　りん茎葉　ゆで,28,1.3,0.1,6.8,0.05,0.07,9,0
ルッコラ　葉　生,17,1.9,0.4,3.1,0.06,0.17,66,0
ルバーブ　葉柄　生,23,0.7,0.1,6,0.04,0.05,5,0
ルバーブ　葉柄　ゆで,14,0.5,0.1,4.6,0.01,0.03,4,0
（レタス類）　レタス　土耕栽培　結球葉　生,11,0.6,0.1,2.8,0.05,0.03,5,0
（レタス類）　レタス　水耕栽培　結球葉　生,13,0.8,0.2,2.9,0.03,0.03,5,0
（レタス類）　サラダな　葉　生,10,1,0.2,2.7,0.06,0.13,14,0
（レタス類）　リーフレタス　葉　生,16,1.4,0.1,3.3,0.1,0.1,21,0
（レタス類）　サニーレタス　葉　生,15,1.2,0.2,3.2,0.1,0.1,17,0
（レタス類）　サンチュ　葉　生,14,1.2,0.4,2.5,0.06,0.1,13,0
（レタス類）　コスレタス　葉　生,16,1.2,0.2,3.4,0.06,0.06,8,0
れんこん　根茎　生,66,1.9,0.1,15.5,0.1,0.01,48,0.1
れんこん　根茎　ゆで,66,1.3,0.1,16.1,0.06,0,18,0
れんこん　甘酢れんこん,66,0.6,0.2,16.5,0,0,7,1.4
わけぎ　葉　生,30,1.6,0,7.4,0.06,0.1,37,0
わけぎ　葉　ゆで,29,1.9,0,6.9,0.05,0.08,21,0
わさび　根茎　生,89,5.6,0.2,18.4,0.06,0.15,75,0.1
わさび　わさび漬,140,7.1,0.5,28,0.08,0.17,1,2.5
わらび　生わらび　生,19,2.4,0.1,4,0.02,1.09,11,0
わらび　生わらび　ゆで,13,1.5,0.1,3,Tr,0.05,0,0
わらび　干しわらび　乾,216,20,0.7,61.4,0.12,0.46,0,0
（その他）　ミックスベジタブル　冷凍,67,3,0.7,15.1,0.14,0.07,9,0.1
（その他）　ミックスベジタブル　冷凍　ゆで,65,3.1,0.8,14.6,0.12,0.05,5,Tr
（その他）　ミックスベジタブル　冷凍　油いため,108,3.3,4.9,15.7,0.14,0.07,6,0.1
（その他）　野菜ミックスジュース　通常タイプ,21,0.8,0.1,4.7,0.03,0.02,2,Tr
（その他）　野菜ミックスジュース　濃縮タイプ,36,1,0.3,7.8,0.05,0.04,37,0.1
あけび　果肉　生,89,0.5,0.1,22,0.07,0.03,65,0
あけび　果皮　生,32,0.3,0.3,8.6,0.03,0.06,9,0
アサイー　冷凍　無糖,62,0.9,5.3,5,0.03,0.06,1,Tr
アセロラ　酸味種　生,36,0.7,0.1,9,0.03,0.04,1700,0
アセロラ　甘味種　生,36,0.7,0.1,9,0.03,0.04,800,0
アセロラ　果実飲料　10%果汁入り飲料,42,0.1,0,10.5,Tr,Tr,120,0
アテモヤ　生,81,1.8,0.4,19.4,0.08,0.12,14,0
アボカド　生,176,2.1,17.5,7.9,0.09,0.2,12,Tr
あんず　生,37,1,0.3,8.5,0.02,0.02,3,0
あんず　乾,296,9.2,0.4,70.4,0,0.03,Tr,0
あんず　缶詰,79,0.5,0.4,18.9,0.01,0.01,Tr,0
あんず　ジャム　高糖度,252,0.3,0.1,64.9,0.01,Tr,Tr,0
あんず　ジャム　低糖度,202,0.4,0.1,50.5,0.01,0.01,Tr,0
いちご　生,31,0.9,0.1,8.5,0.03,0.02,62,0
いちご　ジャム　高糖度,250,0.4,0.1,63.3,0.01,0.01,9,0
いちご　ジャム　低糖度,194,0.5,0.1,48.4,0.01,0.01,10,0
いちご　乾,329,0.5,0.2,82.8,0,0,0,0.7
いちじく　生,57,0.6,0.1,14.3,0.03,0.03,2,0
いちじく　乾,272,3,1.1,75.3,0.1,0.06,0,0.2
いちじく　缶詰,78,0.5,0.1,19.4,0.02,0.02,0,0
うめ　生,33,0.7,0.5,7.9,0.03,0.05,6,0
うめ　梅漬　塩漬,27,0.7,0.4,6.7,0.02,0.04,0,19.3
うめ　梅漬　調味漬,45,1.5,0.5,10.5,0.03,0.03,0,6.9
うめ　梅干し　塩漬,29,0.9,0.7,8.6,0.02,0.01,0,18.2
うめ　梅干し　調味漬,90,1.5,0.6,21.1,0.01,0.01,0,7.6
うめ　梅びしお,196,0.7,0.5,48.1,0.03,0.03,0,7.9
うめ　果実飲料　20%果汁入り飲料,49,Tr,Tr,12.3,0,0,0,0.1
オリーブ　塩漬　グリーンオリーブ,148,1,15,4.5,0.01,0.02,12,3.6
オリーブ　塩漬　ブラックオリーブ,121,0.8,12.3,3.4,0.05,0.06,Tr,1.6
オリーブ　塩漬　スタッフドオリーブ,141,0.8,14.3,4.2,0.01,0.01,11,5.1
かき　甘がき　生,63,0.4,0.2,15.9,0.03,0.02,70,0
かき　渋抜きがき　生,59,0.5,0.1,16.9,0.02,0.02,55,0
かき　干しがき,274,1.5,1.7,71.3,0.02,0,2,0
かりん　生,58,0.4,0.1,18.3,0.01,0.03,25,0
（かんきつ類）　いよかん　砂じょう　生,50,0.9,0.1,11.8,0.06,0.03,35,0
（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,49,0.5,0.1,11.9,0.07,0.04,35,0
（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,49,0.7,0.1,12,0.1,0.03,32,0
（かんきつ類）　うんしゅうみかん　砂じょう　早生　生,47,0.5,0.1,11.3,0.07,0.03,35,0
（かんきつ類）　うんしゅうみかん　砂じょう　普通　生,49,0.7,0.1,11.5,0.09,0.03,33,0
（かんきつ類）　うんしゅうみかん　果実飲料　ストレートジュース,45,0.5,0.1,10.6,0.06,0.01,29,0
（かんきつ類）　うんしゅうみかん　果実飲料　濃縮還元ジュース,42,0.5,0.1,9.9,0.06,0.04,30,0
（かんきつ類）　うんしゅうみかん　果実飲料　果粒入りジュース,53,0.2,Tr,13,0.02,0.01,12,0
（かんきつ類）　うんしゅうみかん　果実飲料　50%果汁入り飲料,59,0.2,Tr,14.7,0.03,0.01,18,0
（かんきつ類）　うんしゅうみかん　果実飲料　20%果汁入り飲料,50,0.1,Tr,12.4,0.01,0.01,7,0
（かんきつ類）　うんしゅうみかん　缶詰　果肉,63,0.5,0.1,15.3,0.05,0.02,15,0
（かんきつ類）　うんしゅうみかん　缶詰　液汁,63,0.3,0.1,15.3,0.04,0.02,15,0
（かんきつ類）　オレンジ　ネーブル　砂じょう　生,48,0.9,0.1,11.8,0.07,0.04,60,0
